film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
994,"WYOMING STORM","A Awe-Inspiring Panorama of a Robot And a Boat who must Overcome a Feminist in A U-Boat",2006,1,NULL,6,4.99,100,29.99,PG-13,"Deleted Scenes","2006-02-15 05:03:42"
325,"FLOATS GARDEN","A Action-Packed Epistle of a Robot And a Car who must Chase a Boat in Ancient Japan",2006,1,NULL,6,2.99,145,29.99,PG-13,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
322,"FLATLINERS KILLER","A Taut Display of a Secret Agent And a Waitress who must Sink a Robot in An Abandoned Mine Shaft",2006,1,NULL,5,2.99,100,29.99,G,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
969,"WEST LION","A Intrepid Drama of a Butler And a Lumberjack who must Challenge a Database Administrator in A Manhattan Penthouse",2006,1,NULL,4,4.99,159,29.99,G,Trailers,"2006-02-15 05:03:42"
358,"GILMORE BOILED","A Unbelieveable Documentary of a Boat And a Husband who must Succumb a Student in A U-Boat",2006,1,NULL,5,0.99,163,29.99,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
366,"GOLDFINGER SENSIBILITY","A Insightful Drama of a Mad Scientist And a Hunter who must Defeat a Pastry Chef in New Orleans",2006,1,NULL,3,0.99,93,29.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
309,"FEUD FROGMEN","A Brilliant Reflection of a Database Administrator And a Mad Cow who must Chase a Woman in The Canadian Rockies",2006,1,NULL,6,0.99,98,29.99,R,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
374,"GRAFFITI LOVE","A Unbelieveable Epistle of a Sumo Wrestler And a Hunter who must Build a Composer in Berlin",2006,1,NULL,3,0.99,117,29.99,PG,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
302,"FANTASIA PARK","A Thoughtful Documentary of a Mad Scientist And a A Shark who must Outrace a Feminist in Australia",2006,1,NULL,5,2.99,131,29.99,G,Commentaries,"2006-02-15 05:03:42"
944,"VIRGIN DAISY","A Awe-Inspiring Documentary of a Robot And a Mad Scientist who must Reach a Database Administrator in A Shark Tank",2006,1,NULL,6,4.99,179,29.99,PG-13,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
297,"EXTRAORDINARY CONQUERER","A Stunning Story of a Dog And a Feminist who must Face a Forensic Psychologist in Berlin",2006,1,NULL,6,2.99,122,29.99,G,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
921,"UNCUT SUICIDES","A Intrepid Yarn of a Explorer And a Pastry Chef who must Pursue a Mad Cow in A U-Boat",2006,1,NULL,7,2.99,172,29.99,PG-13,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
52,"BALLROOM MOCKINGBIRD","A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California",2006,1,NULL,6,0.99,173,29.99,G,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
290,"EVERYONE CRAFT","A Fateful Display of a Waitress And a Dentist who must Reach a Butler in Nigeria",2006,1,NULL,4,0.99,163,29.99,PG,"Trailers,Commentaries","2006-02-15 05:03:42"
417,"HILLS NEIGHBORS","A Epic Display of a Hunter And a Feminist who must Sink a Car in A U-Boat",2006,1,NULL,5,0.99,93,29.99,G,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
423,"HOLLYWOOD ANONYMOUS","A Fast-Paced Epistle of a Boy And a Explorer who must Escape a Dog in A U-Boat",2006,1,NULL,7,0.99,69,29.99,PG,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
429,"HONEY TIES","A Taut Story of a Waitress And a Crocodile who must Outrace a Lumberjack in A Shark Tank",2006,1,NULL,3,0.99,84,29.99,R,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
901,"TRACY CIDER","A Touching Reflection of a Database Administrator And a Madman who must Build a Lumberjack in Nigeria",2006,1,NULL,3,0.99,142,29.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
475,"JAPANESE RUN","A Awe-Inspiring Epistle of a Feminist And a Girl who must Sink a Girl in The Outback",2006,1,NULL,6,0.99,135,29.99,G,"Deleted Scenes","2006-02-15 05:03:42"
480,"JEEPERS WEDDING","A Astounding Display of a Composer And a Dog who must Kill a Pastry Chef in Soviet Georgia",2006,1,NULL,3,2.99,84,29.99,R,"Trailers,Commentaries,Deleted Scenes","2006-02-15 05:03:42"
487,"JINGLE SAGEBRUSH","A Epic Character Study of a Feminist And a Student who must Meet a Woman in A Baloon",2006,1,NULL,6,4.99,124,29.99,PG-13,"Trailers,Commentaries","2006-02-15 05:03:42"
238,"DOCTOR GRAIL","A Insightful Drama of a Womanizer And a Waitress who must Reach a Forensic Psychologist in The Outback",2006,1,NULL,4,2.99,57,29.99,G,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
81,"BLINDNESS GUN","A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat",2006,1,NULL,6,4.99,103,29.99,PG-13,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
510,"LAWLESS VISION","A Insightful Yarn of a Boy And a Sumo Wrestler who must Outgun a Car in The Outback",2006,1,NULL,6,4.99,181,29.99,G,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
